poste,ville,type_contrat,experience_requise,salaire_annuel,date_publication,annee,trimestre,teletravail_possible,niveau_urgence,future_interest,interest_score
ingénieur devops,lyon,cdi,intermédiaire (2-5 ans),0.4470755128764732,2020-03-25,0.0,q1,False,élevé,0,0.6240608
commercial b2b,paris,stage,intermédiaire (2-5 ans),0.0372744798486832,2020-03-26,0.0,q1,False,faible,1,0.58137727
consultant cybersécurité,paris,stage,intermédiaire (2-5 ans),0.0818783646151607,2020-03-28,0.0,q1,False,moyen,1,0.63574207
développeur full stack,lyon,stage,confirmé (5-8 ans),0.0915993743634511,2020-03-28,0.0,q1,False,élevé,0,0.44612128
data scientist,paris,cdi,débutant (0-2 ans),0.306243634511858,2020-03-29,0.0,q1,False,moyen,1,0.5588574
chef de projet digital,paris,cdi,intermédiaire (2-5 ans),0.4064818856394587,2020-03-30,0.0,q1,False,faible,1,0.59111476
consultant cybersécurité,paris,cdi,intermédiaire (2-5 ans),0.462007129346719,2020-03-30,0.0,q1,True,moyen,1,0.63575613
commercial b2b,nantes,cdi,senior (8+ ans),0.6163338425723847,2020-03-31,0.0,q1,False,élevé,0,0.58136237
chargé de communication,nantes,cdd,senior (8+ ans),0.5714207769532955,2020-04-05,0.0,q2,False,moyen,1,0.6947753
architecte cloud,paris,cdi,débutant (0-2 ans),0.3583406081769242,2020-04-09,0.0,q2,True,élevé,1,0.35840565
data scientist,lyon,cdi,confirmé (5-8 ans),0.5094300160046559,2020-04-10,0.0,q2,True,élevé,0,0.5588574
product owner,lille,cdi,confirmé (5-8 ans),0.5711025025461952,2020-04-13,0.0,q2,True,élevé,0,0.5584586
data scientist,paris,cdd,débutant (0-2 ans),0.3903862941946748,2020-04-14,0.0,q2,True,moyen,1,0.5588574
développeur full stack,montpellier,cdd,confirmé (5-8 ans),0.5454404917794268,2020-04-14,0.0,q2,True,élevé,1,0.44612128
développeur full stack,marseille,cdi,débutant (0-2 ans),0.253300960279354,2020-04-16,0.0,q2,False,moyen,1,0.44612128
responsable rh,paris,cdi,confirmé (5-8 ans),0.4481758329695912,2020-04-16,0.0,q2,True,moyen,0,0.4071675
commercial b2b,paris,stage,confirmé (5-8 ans),0.0535701294922159,2020-04-20,0.0,q2,False,moyen,1,0.58136237
développeur full stack,paris,cdi,intermédiaire (2-5 ans),0.3566219263785828,2020-04-22,0.0,q2,True,faible,0,0.44612128
data scientist,toulouse,cdi,débutant (0-2 ans),0.3031972937581842,2020-04-24,0.0,q2,True,moyen,0,0.5588574
ingénieur devops,montpellier,cdd,débutant (0-2 ans),0.3112814636985305,2020-04-25,0.0,q2,True,moyen,1,0.6240608
contrôleur de gestion,paris,cdi,intermédiaire (2-5 ans),0.3636330568892769,2020-04-25,0.0,q2,True,faible,0,0.35000122
product owner,rennes,cdi,intermédiaire (2-5 ans),0.4059544594791212,2020-04-26,0.0,q2,True,élevé,1,0.5584586
business analyst,marseille,freelance,senior (8+ ans),0.8229939618798195,2020-04-28,0.0,q2,True,élevé,1,0.42929092
développeur full stack,paris,cdi,débutant (0-2 ans),0.2898843299869053,2020-05-01,0.0,q2,True,élevé,1,0.44612128
chef de projet digital,toulouse,cdd,débutant (0-2 ans),0.3187927397060963,2020-05-03,0.0,q2,True,faible,1,0.59111476
ingénieur ia,paris,stage,confirmé (5-8 ans),0.1052215189873417,2020-05-07,0.0,q2,True,faible,1,0.47765684
data scientist,paris,cdi,intermédiaire (2-5 ans),0.3859213589407828,2020-05-08,0.0,q2,True,moyen,0,0.5588574
ingénieur devops,toulouse,cdi,intermédiaire (2-5 ans),0.4234504583151462,2020-05-09,0.0,q2,True,élevé,1,0.6240608
ingénieur ia,lille,cdi,intermédiaire (2-5 ans),0.449148843299869,2020-05-12,0.0,q2,True,moyen,0,0.47765684
chef de projet digital,paris,cdi,débutant (0-2 ans),0.329650443765459,2020-05-16,0.0,q2,True,moyen,1,0.59111476
responsable rh,toulouse,cdi,intermédiaire (2-5 ans),0.3803651971482613,2020-05-18,0.0,q2,True,moyen,0,0.4071675
ingénieur devops,lyon,cdd,intermédiaire (2-5 ans),0.5036101411319657,2020-05-23,0.0,q2,True,moyen,1,0.6240608
développeur full stack,paris,cdi,confirmé (5-8 ans),0.5151498617779717,2020-05-28,0.0,q2,True,élevé,1,0.44612128
ingénieur devops,paris,stage,confirmé (5-8 ans),0.0868161647024589,2020-05-28,0.0,q2,True,moyen,0,0.6239463
responsable marketing digital,paris,cdd,débutant (0-2 ans),0.3143914593336243,2020-05-30,0.0,q2,False,moyen,0,0.44683775
responsable marketing digital,nantes,cdi,intermédiaire (2-5 ans),0.4329623163101993,2020-06-02,0.0,q2,False,faible,0,0.44674724
architecte cloud,nantes,cdi,intermédiaire (2-5 ans),0.4813218390804598,2020-06-02,0.0,q2,True,moyen,1,0.35840565
ingénieur ia,toulouse,cdi,débutant (0-2 ans),0.3198384984722828,2020-06-07,0.0,q2,False,élevé,0,0.47765684
développeur full stack,montpellier,cdd,débutant (0-2 ans),0.3190746398952422,2020-06-09,0.0,q2,False,élevé,0,0.44612128
chef de projet digital,paris,cdi,confirmé (5-8 ans),0.4693729084824676,2020-06-10,0.0,q2,True,moyen,1,0.59111476
contrôleur de gestion,paris,cdi,intermédiaire (2-5 ans),0.4097646588098356,2020-06-10,0.0,q2,False,moyen,0,0.35000122
responsable marketing digital,lille,cdi,débutant (0-2 ans),0.2728157282118434,2020-06-12,0.0,q2,True,moyen,0,0.44674724
responsable marketing digital,lyon,cdd,confirmé (5-8 ans),0.5865797322857559,2020-06-13,0.0,q2,False,faible,1,0.44674724
architecte cloud,rennes,cdi,confirmé (5-8 ans),0.5885985013822203,2020-06-14,0.0,q2,True,faible,0,0.35840565
architecte cloud,paris,cdi,débutant (0-2 ans),0.3486650662010767,2020-06-15,0.0,q2,True,moyen,0,0.35840565
commercial b2b,marseille,cdd,intermédiaire (2-5 ans),0.3876036665211698,2020-06-16,0.0,q2,False,élevé,0,0.58136237
business analyst,paris,cdi,intermédiaire (2-5 ans),0.330577986323294,2020-06-23,0.0,q2,True,élevé,0,0.42929092
architecte cloud,lille,cdi,senior (8+ ans),0.8060253892041321,2020-07-01,0.0,q3,True,moyen,0,0.35840565
ux/ui designer,paris,freelance,débutant (0-2 ans),0.3719172850283719,2020-07-02,0.0,q3,True,moyen,1,0.5471124
commercial b2b,toulouse,stage,débutant (0-2 ans),0.011885275716572,2020-07-02,0.0,q3,True,élevé,1,0.58136237
chef de projet digital,paris,cdi,intermédiaire (2-5 ans),0.3808926233085988,2020-07-05,0.0,q3,False,élevé,1,0.59111476
consultant cybersécurité,nantes,cdi,intermédiaire (2-5 ans),0.4658446093408991,2020-07-07,0.0,q3,True,élevé,1,0.63575613
développeur full stack,lyon,stage,intermédiaire (2-5 ans),0.0389476938745817,2020-07-12,0.0,q3,False,moyen,1,0.44612128
data scientist,paris,freelance,débutant (0-2 ans),0.4213589407827732,2020-07-14,0.0,q3,False,élevé,0,0.5588574
chef de projet digital,toulouse,cdi,senior (8+ ans),0.6439964353266405,2020-07-20,0.0,q3,True,élevé,1,0.59111476
data scientist,lyon,cdi,débutant (0-2 ans),0.3439091372035501,2020-07-22,0.0,q3,True,élevé,0,0.5588574
ux/ui designer,paris,cdi,débutant (0-2 ans),0.2201640477229739,2020-07-22,0.0,q3,True,moyen,1,0.5471124
ingénieur devops,bordeaux,cdi,confirmé (5-8 ans),0.5330186963480286,2020-07-26,0.0,q3,True,élevé,1,0.6240608
chargé de communication,rennes,cdi,senior (8+ ans),0.5181598283136912,2020-07-28,0.0,q3,True,faible,0,0.6947753
développeur full stack,nantes,cdi,confirmé (5-8 ans),0.5161046849992725,2020-07-29,0.0,q3,False,moyen,1,0.44612128
data scientist,lille,cdi,senior (8+ ans),0.7480176051214898,2020-07-30,0.0,q3,True,élevé,1,0.5588574
responsable marketing digital,paris,cdi,intermédiaire (2-5 ans),0.4221227993598138,2020-08-03,0.0,q3,False,faible,1,0.44674724
business analyst,lille,cdi,senior (8+ ans),0.6751145787865561,2020-08-14,0.0,q3,True,faible,0,0.42929092
chef de projet digital,lille,cdi,intermédiaire (2-5 ans),0.4468572675687473,2020-08-14,0.0,q3,False,moyen,0,0.59111476
responsable rh,paris,cdi,confirmé (5-8 ans),0.4994089189582424,2020-08-15,0.0,q3,True,faible,0,0.4071675
chargé de communication,lyon,cdi,senior (8+ ans),0.5991652116979485,2020-08-16,0.0,q3,False,moyen,0,0.694785
ingénieur ia,nantes,cdi,intermédiaire (2-5 ans),0.4180670740579078,2020-08-16,0.0,q3,True,moyen,0,0.4776264
consultant cybersécurité,lille,cdi,intermédiaire (2-5 ans),0.4577331587370871,2020-08-17,0.0,q3,False,faible,0,0.63575613
ingénieur devops,bordeaux,cdd,confirmé (5-8 ans),0.6231631019933072,2020-08-19,0.0,q3,True,faible,0,0.6240608
business analyst,lille,cdi,débutant (0-2 ans),0.2570475047286483,2020-08-21,0.0,q3,False,moyen,0,0.42929092
commercial b2b,lille,cdi,débutant (0-2 ans),0.2202549832678597,2020-08-22,0.0,q3,True,élevé,0,0.58136237
ingénieur devops,paris,stage,senior (8+ ans),0.1663029244871235,2020-08-24,0.0,q3,True,élevé,0,0.6240608
ux/ui designer,paris,cdi,débutant (0-2 ans),0.2491906736505165,2020-08-25,0.0,q3,True,moyen,1,0.5471124
data scientist,nantes,cdi,débutant (0-2 ans),0.3061981667394151,2020-08-26,0.0,q3,False,moyen,1,0.5588574
ingénieur devops,montpellier,alternance,intermédiaire (2-5 ans),0.125472864833406,2020-08-27,0.0,q3,True,élevé,1,0.6240608
consultant cybersécurité,lille,freelance,intermédiaire (2-5 ans),0.6236996217081333,2020-09-01,0.0,q3,True,moyen,1,0.63575613
architecte cloud,lille,cdd,intermédiaire (2-5 ans),0.5785955914447839,2020-09-01,0.0,q3,False,moyen,0,0.35840565
contrôleur de gestion,lyon,alternance,confirmé (5-8 ans),0.1212625491051942,2020-09-01,0.0,q3,False,moyen,1,0.35000122
responsable marketing digital,lyon,freelance,intermédiaire (2-5 ans),0.6424778117270479,2020-09-05,0.0,q3,False,faible,1,0.44674724
ux/ui designer,bordeaux,cdd,confirmé (5-8 ans),0.5621453513749455,2020-09-06,0.0,q3,False,faible,1,0.5471124
développeur full stack,bordeaux,cdd,intermédiaire (2-5 ans),0.4332442164993452,2020-09-06,0.0,q3,True,faible,1,0.44612128
ux/ui designer,toulouse,stage,confirmé (5-8 ans),0.0742943401716863,2020-09-07,0.0,q3,True,élevé,0,0.5471124
data scientist,strasbourg,alternance,confirmé (5-8 ans),0.1740051651389495,2020-09-09,0.0,q3,True,moyen,1,0.5588574
commercial b2b,strasbourg,alternance,confirmé (5-8 ans),0.1025571075221882,2020-09-09,0.0,q3,True,faible,0,0.58136237
développeur full stack,rennes,cdi,intermédiaire (2-5 ans),0.3663065619089189,2020-09-09,0.0,q3,True,élevé,1,0.44612128
développeur full stack,bordeaux,cdi,débutant (0-2 ans),0.2885566710315728,2020-09-10,0.0,q3,True,moyen,0,0.44612128
consultant cybersécurité,paris,stage,confirmé (5-8 ans),0.0943092536010475,2020-09-12,0.0,q3,True,moyen,0,0.63575613
commercial b2b,paris,cdi,intermédiaire (2-5 ans),0.3585042921577186,2020-09-14,0.0,q3,True,moyen,1,0.58136237
ingénieur devops,montpellier,freelance,débutant (0-2 ans),0.511412410883166,2020-09-14,0.0,q3,True,moyen,1,0.6240608
product owner,paris,cdi,confirmé (5-8 ans),0.4967172268296231,2020-09-19,0.0,q3,True,élevé,0,0.5584586
consultant cybersécurité,montpellier,cdi,débutant (0-2 ans),0.3410082933216936,2020-09-22,0.0,q3,False,moyen,0,0.63575613
ux/ui designer,strasbourg,cdi,senior (8+ ans),0.6087043503564673,2020-09-22,0.0,q3,True,élevé,0,0.5471124
data scientist,lyon,alternance,intermédiaire (2-5 ans),0.1151062127164266,2020-09-26,0.0,q3,True,faible,1,0.5588574
responsable rh,strasbourg,cdi,débutant (0-2 ans),0.2851284009893787,2020-09-26,0.0,q3,False,élevé,1,0.4071675
architecte cloud,lille,cdi,intermédiaire (2-5 ans),0.4800669285610359,2020-09-29,0.0,q3,True,moyen,0,0.35840565
ingénieur ia,rennes,cdi,confirmé (5-8 ans),0.6066037392696058,2020-09-30,0.0,q3,True,élevé,0,0.47765684
commercial b2b,rennes,freelance,confirmé (5-8 ans),0.680252437072603,2020-10-01,0.0,q4,False,faible,1,0.58136237
responsable marketing digital,nantes,cdi,intermédiaire (2-5 ans),0.3636876182162084,2020-10-01,0.0,q4,True,élevé,1,0.44683775
chef de projet digital,paris,cdi,intermédiaire (2-5 ans),0.3902862650953004,2020-10-02,0.0,q4,True,moyen,0,0.5911443
consultant cybersécurité,paris,cdd,débutant (0-2 ans),0.3636330568892769,2020-10-03,0.0,q4,True,faible,0,0.63575613
chef de projet digital,rennes,alternance,confirmé (5-8 ans),0.1315382656772879,2020-10-03,0.0,q4,True,moyen,0,0.59111476
product owner,bordeaux,cdi,senior (8+ ans),0.6751236723410446,2020-10-03,0.0,q4,True,élevé,0,0.5584586
responsable marketing digital,paris,cdi,débutant (0-2 ans),0.2633402444347446,2020-10-08,0.0,q4,True,moyen,1,0.44674724
ingénieur ia,lille,cdi,intermédiaire (2-5 ans),0.4481030845336825,2020-10-09,0.0,q4,True,moyen,1,0.47765684
responsable marketing digital,lyon,cdi,intermédiaire (2-5 ans),0.4156390950094573,2020-10-09,0.0,q4,False,moyen,1,0.44674724
product owner,montpellier,cdi,intermédiaire (2-5 ans),0.3716626655026916,2020-10-10,0.0,q4,False,élevé,1,0.5584586
ux/ui designer,paris,cdd,confirmé (5-8 ans),0.5152771715408119,2020-10-12,0.0,q4,True,moyen,0,0.5471124
data scientist,paris,stage,débutant (0-2 ans),0.0347737523643241,2020-10-13,0.0,q4,True,élevé,0,0.5588574
architecte cloud,paris,cdi,intermédiaire (2-5 ans),0.4718827295213152,2020-10-16,0.0,q4,True,élevé,1,0.35840565
data scientist,paris,cdi,intermédiaire (2-5 ans),0.4049087007129346,2020-10-18,0.0,q4,True,faible,1,0.5588574
architecte cloud,paris,cdd,débutant (0-2 ans),0.3721173432271206,2020-10-19,0.0,q4,False,élevé,1,0.35840565
commercial b2b,paris,cdi,débutant (0-2 ans),0.257702240651826,2020-10-20,0.0,q4,False,moyen,1,0.58136237
chef de projet digital,bordeaux,cdd,intermédiaire (2-5 ans),0.4995726029390368,2020-10-20,0.0,q4,True,moyen,0,0.59111476
consultant cybersécurité,paris,stage,débutant (0-2 ans),0.0369289247781172,2020-10-28,0.0,q4,True,moyen,0,0.63575613
responsable marketing digital,lille,cdi,intermédiaire (2-5 ans),0.4137385421213443,2020-10-30,0.0,q4,False,élevé,0,0.44674724
responsable marketing digital,paris,cdi,confirmé (5-8 ans),0.5384384548232213,2020-10-31,0.0,q4,True,élevé,1,0.44674724
product owner,rennes,freelance,confirmé (5-8 ans),0.8195656918376255,2020-10-31,0.0,q4,True,moyen,0,0.5584586
développeur full stack,paris,cdi,confirmé (5-8 ans),0.5490142586934381,2020-11-06,0.0,q4,False,moyen,0,0.44612128
contrôleur de gestion,paris,cdd,intermédiaire (2-5 ans),0.4148297686599738,2020-11-10,0.0,q4,False,moyen,0,0.35000122
responsable marketing digital,paris,cdd,confirmé (5-8 ans),0.5834060817692419,2020-11-13,0.0,q4,True,élevé,0,0.44674724
responsable marketing digital,lille,cdi,intermédiaire (2-5 ans),0.3933053251855085,2020-11-21,0.0,q4,False,moyen,0,0.44674724
consultant cybersécurité,paris,cdd,intermédiaire (2-5 ans),0.5330005092390514,2020-11-22,0.0,q4,False,moyen,0,0.63575613
architecte cloud,bordeaux,cdd,confirmé (5-8 ans),0.6579095736941656,2020-11-24,0.0,q4,False,moyen,1,0.35840565
contrôleur de gestion,paris,cdi,débutant (0-2 ans),0.260484868325331,2020-11-29,0.0,q4,True,moyen,0,0.35000122
chef de projet digital,paris,cdd,confirmé (5-8 ans),0.6120689655172413,2020-11-30,0.0,q4,True,moyen,1,0.59111476
responsable rh,montpellier,cdi,confirmé (5-8 ans),0.4617252291575731,2020-11-30,0.0,q4,True,élevé,1,0.4071675
responsable marketing digital,rennes,cdd,intermédiaire (2-5 ans),0.4143387167175906,2020-12-03,0.0,q4,True,faible,0,0.44674724
consultant cybersécurité,strasbourg,stage,débutant (0-2 ans),0.033482467626946,2020-12-04,0.0,q4,False,moyen,1,0.63575613
ingénieur devops,marseille,cdi,débutant (0-2 ans),0.3201840535428488,2020-12-04,0.0,q4,False,élevé,0,0.6240608
ingénieur devops,paris,freelance,confirmé (5-8 ans),0.7846464426014841,2020-12-05,0.0,q4,True,moyen,1,0.6239463
product owner,bordeaux,alternance,intermédiaire (2-5 ans),0.1001291284737378,2020-12-07,0.0,q4,False,faible,1,0.5584624
contrôleur de gestion,paris,cdi,intermédiaire (2-5 ans),0.3210934089917067,2020-12-09,0.0,q4,True,moyen,0,0.35000122
ingénieur ia,paris,cdd,confirmé (5-8 ans),0.6613924050632911,2020-12-10,0.0,q4,True,faible,1,0.47765684
contrôleur de gestion,paris,cdi,confirmé (5-8 ans),0.5229157573112178,2020-12-13,0.0,q4,True,faible,1,0.35000122
data scientist,strasbourg,cdi,senior (8+ ans),0.6948930597992143,2020-12-16,0.0,q4,True,faible,1,0.5588574
consultant cybersécurité,strasbourg,stage,débutant (0-2 ans),0.0301996944565691,2020-12-16,0.0,q4,True,élevé,0,0.63575613
responsable rh,marseille,stage,intermédiaire (2-5 ans),0.050978466462971,2020-12-18,0.0,q4,True,moyen,0,0.4071675
développeur full stack,bordeaux,cdi,confirmé (5-8 ans),0.519351083951695,2020-12-21,0.0,q4,False,faible,0,0.44612128
ingénieur ia,strasbourg,cdi,intermédiaire (2-5 ans),0.4577877200640186,2020-12-25,0.0,q4,False,moyen,1,0.47765684
data scientist,paris,cdd,débutant (0-2 ans),0.340935544885785,2020-12-25,0.0,q4,False,moyen,1,0.5588574
data scientist,marseille,cdd,intermédiaire (2-5 ans),0.4778753819292885,2020-12-30,0.0,q4,True,élevé,1,0.5588574
chef de projet digital,lyon,freelance,débutant (0-2 ans),0.4122744798486832,2021-01-01,0.25,q1,True,moyen,0,0.59111476
data scientist,paris,cdd,senior (8+ ans),0.8214571511712498,2021-01-01,0.25,q1,True,moyen,1,0.5588574
contrôleur de gestion,toulouse,stage,confirmé (5-8 ans),0.0709479121198894,2021-01-02,0.25,q1,True,élevé,0,0.35000122
responsable marketing digital,paris,cdd,intermédiaire (2-5 ans),0.432516732140259,2021-01-05,0.25,q1,True,faible,1,0.44674724
ux/ui designer,nantes,cdd,débutant (0-2 ans),0.2723246762694602,2021-01-05,0.25,q1,False,élevé,0,0.5471124
consultant cybersécurité,paris,stage,confirmé (5-8 ans),0.095054925069111,2021-01-07,0.25,q1,False,faible,1,0.63575613
ux/ui designer,paris,alternance,intermédiaire (2-5 ans),0.1034119016441146,2021-01-08,0.25,q1,True,élevé,0,0.5471124
data scientist,paris,cdi,débutant (0-2 ans),0.3308598865124399,2021-01-10,0.25,q1,True,moyen,1,0.5588574
business analyst,lyon,cdi,confirmé (5-8 ans),0.4502855376109413,2021-01-11,0.25,q1,True,moyen,1,0.42929092
commercial b2b,nantes,alternance,confirmé (5-8 ans),0.1275007274843591,2021-01-15,0.25,q1,True,moyen,1,0.58136237
business analyst,paris,freelance,débutant (0-2 ans),0.3871762694602066,2021-01-17,0.25,q1,False,moyen,1,0.42929092
architecte cloud,lille,cdi,intermédiaire (2-5 ans),0.5911901644114651,2021-01-21,0.25,q1,True,faible,1,0.35840565
commercial b2b,lille,alternance,confirmé (5-8 ans),0.1111505165138949,2021-01-25,0.25,q1,False,élevé,1,0.58136237
data scientist,lille,cdi,intermédiaire (2-5 ans),0.495598719627528,2021-01-28,0.25,q1,True,moyen,1,0.5588574
commercial b2b,toulouse,cdd,intermédiaire (2-5 ans),0.4561326931470973,2021-01-29,0.25,q1,True,moyen,0,0.58136237
ux/ui designer,lyon,cdi,intermédiaire (2-5 ans),0.383802560744944,2021-02-05,0.25,q1,True,moyen,1,0.5471124
ingénieur ia,toulouse,freelance,débutant (0-2 ans),0.5265440855521606,2021-02-06,0.25,q1,False,faible,0,0.47765684
consultant cybersécurité,paris,cdd,débutant (0-2 ans),0.35855885348465,2021-02-06,0.25,q1,False,moyen,1,0.63575613
ingénieur ia,paris,cdi,débutant (0-2 ans),0.2913029244871235,2021-02-09,0.25,q1,True,moyen,0,0.47765684
chef de projet digital,marseille,cdi,intermédiaire (2-5 ans),0.4712552742616033,2021-02-10,0.25,q1,False,moyen,1,0.59111476
responsable rh,marseille,cdi,confirmé (5-8 ans),0.5205150589262331,2021-02-11,0.25,q1,False,élevé,0,0.40710858
développeur full stack,rennes,cdi,intermédiaire (2-5 ans),0.459460934089917,2021-02-15,0.25,q1,True,élevé,0,0.44615144
développeur full stack,montpellier,stage,confirmé (5-8 ans),0.1014295067656045,2021-02-16,0.25,q1,False,faible,1,0.44612128
consultant cybersécurité,marseille,cdi,confirmé (5-8 ans),0.5587625491051942,2021-02-17,0.25,q1,False,faible,0,0.63575613
ingénieur ia,marseille,cdi,débutant (0-2 ans),0.3030881711043212,2021-02-18,0.25,q1,False,élevé,1,0.47765684
contrôleur de gestion,marseille,stage,confirmé (5-8 ans),0.078377346137058,2021-02-18,0.25,q1,True,faible,1,0.35000122
chargé de communication,lille,freelance,confirmé (5-8 ans),0.6066764877055143,2021-02-23,0.25,q1,True,élevé,0,0.6947753
développeur full stack,strasbourg,stage,intermédiaire (2-5 ans),0.0517696057034773,2021-02-23,0.25,q1,True,faible,0,0.44612128
responsable marketing digital,paris,alternance,confirmé (5-8 ans),0.1535355739851593,2021-02-25,0.25,q1,True,élevé,1,0.44674724
développeur full stack,marseille,cdi,débutant (0-2 ans),0.2715608176924196,2021-03-02,0.25,q1,True,élevé,1,0.44612128
ingénieur ia,paris,cdi,débutant (0-2 ans),0.3012512730976284,2021-03-09,0.25,q1,True,moyen,0,0.47765684
développeur full stack,bordeaux,stage,confirmé (5-8 ans),0.1028299141568456,2021-03-17,0.25,q1,True,moyen,0,0.44612128
responsable marketing digital,paris,cdd,intermédiaire (2-5 ans),0.4528953877491634,2021-03-18,0.25,q1,False,élevé,1,0.44674724
product owner,toulouse,cdi,confirmé (5-8 ans),0.4715371744507493,2021-03-22,0.25,q1,True,élevé,0,0.5584586
chef de projet digital,paris,cdi,intermédiaire (2-5 ans),0.3695802415248072,2021-03-23,0.25,q1,True,élevé,0,0.59111476
responsable rh,paris,freelance,débutant (0-2 ans),0.3959515495416849,2021-03-29,0.25,q1,True,moyen,1,0.4071675
développeur full stack,lyon,stage,débutant (0-2 ans),0.00927542557835,2021-03-30,0.25,q1,True,moyen,0,0.44612128
data scientist,paris,cdi,débutant (0-2 ans),0.3470555070565982,2021-03-31,0.25,q1,False,élevé,1,0.5588574
responsable marketing digital,lille,cdd,débutant (0-2 ans),0.327968136185072,2021-04-01,0.25,q2,True,élevé,0,0.44674724
commercial b2b,rennes,cdd,senior (8+ ans),0.7241015568165284,2021-04-05,0.25,q2,True,faible,1,0.58136237
développeur full stack,montpellier,freelance,intermédiaire (2-5 ans),0.6749508948057616,2021-04-06,0.25,q2,False,moyen,1,0.44612128
ingénieur devops,paris,cdi,débutant (0-2 ans),0.3037701876909646,2021-04-15,0.25,q2,True,élevé,1,0.6240608
commercial b2b,paris,cdi,intermédiaire (2-5 ans),0.3691801251273097,2021-04-25,0.25,q2,False,moyen,1,0.58136237
product owner,marseille,cdd,débutant (0-2 ans),0.3034973810563073,2021-04-25,0.25,q2,True,faible,0,0.5584586
ux/ui designer,lyon,cdi,intermédiaire (2-5 ans),0.4064636985304816,2021-04-29,0.25,q2,True,moyen,1,0.5471124
ingénieur devops,paris,cdi,débutant (0-2 ans),0.311226902371599,2021-05-06,0.25,q2,False,faible,1,0.6240608
ux/ui designer,nantes,cdi,débutant (0-2 ans),0.2222464717008584,2021-05-07,0.25,q2,True,élevé,1,0.5471124
